PKANCODE,COMMUNE_NL,STREET_NL,HUISNR,LAT,LON
2275,Lille,Beersebaan,71,51.2714877674,4.86621126256
2275,Lille,Valvekenstraat,60,51.2542042482,4.82557146285
2275,Lille,Leeuweriksstraat,11,51.2596290687,4.86434921273
2275,Lille,De Nefstraat,94,51.2707079068,4.8733425887
2275,Lille,Neerzand,5,51.2177808897,4.82808806515
2275,Lille,Schoorstraat,54,51.2803158905,4.86798210014
2275,Lille,Veenzijde,62A,51.2577184524,4.86409937517
2275,Lille,Heikant,112,51.2282565731,4.82281871178
2275,Lille,Baan,9,51.2317586775,4.83369949364
2275,Lille,Varendreef,4,51.2734440837,4.80774073526
2275,Lille,Rechtestraat,71,51.2413144598,4.82300168311
2275,Lille,Molenheidedreef,3,51.2706457242,4.79931548562
2275,Lille,Wechelsebaan,8,51.2424020459,4.8231237104
2275,Lille,Balsakker,21,51.2384569458,4.81837011045
2275,Lille,Slaaplaken,9,51.2272808181,4.83455407069
2275,Lille,Lichtaartsesteenweg,58,51.2217475557,4.84001296885
2275,Lille,Borgstraat,32,51.256270233,4.78814878361
2275,Lille,Valvekenstraat,42,51.2534050654,4.82312947417
2275,Lille,Neerhof,9,51.2329123998,4.82734342337
2275,Lille,Hemeldonk,23,51.2729979632,4.85240164113
2275,Lille,Kan. J. Peetersstraat,20,51.2678766928,4.87293103689
2275,Lille,Beulkbeemden,3,51.2650199667,4.77638967138
2275,Lille,Kerkstraat,79,51.2368931425,4.81775205248
2275,Lille,Turnhoutsebaan,48,51.2749688384,4.88236441595
2275,Lille,Hazenpad,4,51.290885907,4.83868355752
2275,Lille,Krokuslaan,23,51.2708108368,4.86804787058
2275,Lille,Violetlaan,10,51.272261083,4.87267334741
2275,Lille,Visbeekbaan,26,51.2673549799,4.79089924941
2275,Lille,Messemakersstraat,38,51.2568694887,4.86264010912
2275,Lille,Oude Baan,6,51.2688393217,4.87205254071
2275,Lille,Rolleken,1,51.260613634,4.82950465264
2275,Lille,Heikant,94,51.2287263993,4.8244763577
2275,Lille,Singel,17,51.2682762386,4.86712142833
2275,Lille,Valvekenstraat,3,51.2517174045,4.81693877177
2275,Lille,Kastanjelaan,8,51.2273098387,4.81041811616
2275,Lille,Zand,56,51.2637152024,4.80144201755
2275,Lille,Dalenbergstraat,7,51.26664406,4.79431550901
2275,Lille,De Nefstraat,58,51.2696125691,4.87087521785
2275,Lille,Laakakker,7,51.2291241292,4.84468984177
2275,Lille,Moereindpad,6,51.2581449651,4.79219959443
2275,Lille,Rooien,5,51.2784511984,4.88599673867
2275,Lille,Pater A. Verlindenstraat,2,51.2718188094,4.8701471798
2275,Lille,Hoeksken,20,51.2406460797,4.82558758175
2275,Lille,Beulk,41,51.2634334386,4.78128161106
2275,Lille,Zagerijstraat,1,51.234403702,4.82819441399
2275,Lille,Wechelsebaan,65,51.2466925953,4.81915917732
2275,Lille,Pulsebaan,37,51.260774676,4.78520162158
2275,Lille,Gebroeders De Winterstraat,4,51.2626964802,4.7871864109
2275,Lille,Beersebaan,155,51.277005326,4.86286025865
2275,Lille,Azalealaan,17,51.2592524595,4.79048133023
2275,Lille,De Dalen,14,51.2667356624,4.79009873255
2275,Lille,Boonhof,16,51.2596057888,4.78673930126
2275,Lille,Wagemansstraat,31,51.2602027685,4.79197379122
2275,Lille,Gebroeders De Winterstraat,28,51.2615466697,4.79050270612
2275,Lille,Oude Lillebaan,3A,51.2618655305,4.85821292364
2275,Lille,P.Damiaanstraat,9,51.236003218,4.83079506718
2275,Lille,Haarlebeek,3,51.2812967855,4.83153179756
2275,Lille,Kosterstraat,50,51.2693991929,4.87517118195
2275,Lille,Akkerstraat,48,51.2473463351,4.82347360679
2275,Lille,Bersegembaan,40,51.2749523378,4.79000524285
2275,Lille,Waterlaat,2,51.2628907197,4.87170724051
2275,Lille,Bersegembaan,1,51.269062573,4.78767082169
2275,Lille,Hoogland,21,51.236039237,4.83709958932
2275,Lille,De Dalen,32,51.2693067759,4.79153523781
2275,Lille,Pastorijstraat,94,51.267590681,4.79802749469
